,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision,accident_index,accident_reference,date,time,local_authority_ons_district,local_authority_highway,lsoa_of_accident_location
f_statistic,,,,,,427.5095200501885,259.16691802601895,581.0119471792057,0.48570946118021285,,65.48970008128633,35.212740849524444,17.61093351171604,701.0927480278083,339.0233498827289,372.1513948818168,272.280687990446,11.956362165427155,491.5005489557475,311.65821414081694,169.26725899221302,118.49491497459896,68.8452391380456,259.8149568793196,213.464980758447,576.5178738080598,2380.8891218979156,419.64367957869456,10658.242267877196,,,,,,,
p_value,,,,,,1.2364538628003644e-185,5.298011572850588e-113,1.1630238023163733e-251,0.6152619307048348,,3.767349690072611e-29,5.157792076260977e-16,2.2540338457348105e-08,3.5373687445617866e-303,1.7408275750107727e-147,8.931126642077288e-162,1.1422458720442202e-118,6.427074024838456e-06,3.49994310959289e-213,1.1260799644859548e-135,4.048169675817907e-74,3.9510680315172336e-52,1.320137520993996e-30,2.780143883871805e-113,3.0383625385750784e-93,9.906215824373916e-250,0.0,3.02506262527191e-182,0.0,0.4983526197573337,0.4983526197573337,5.6317043067222756e-11,4.4701857872984045e-82,0.0,0.0,4.022252836022658e-40
correlation_with_severity,,0.08496527047598429,-0.11268303001460382,0.08632439426267816,-0.1125239320300725,-0.09019090308087188,0.06720941912456012,-0.09799650971367461,-0.0028579425960548136,,0.010583469159236233,-0.025915448105227144,-0.016200082508558776,-0.10276698686096786,0.07947468713098406,0.08245246388315162,0.06824490234015672,0.013284937307116223,0.09561661962128495,0.07708314471740081,-0.05183449489305262,0.047390404310481846,0.034215802085731224,0.06997502371794227,0.06356835212920746,-0.09740129139593623,0.20793075064695266,0.08900346378444278,-0.33489355785463165,,,,,,,
chi2_statistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208516.0,208516.0,1001.7488732645654,4584.535730863875,4641.66452570179,4097.482939228506,58117.33877882706
degrees_of_freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208514.0,208514.0,728.0,2878.0,700.0,414.0,53674.0
