,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision
mean,2023.0,455388.58328377106,275499.28901828366,-1.2048931000613932,52.36698442251981,27.638397053463525,2.745995511135836,1.8206276736557387,1.2754608759040074,4.129189126973469,-1.0,4.22556542423603,787.2960540198354,5.294222026127492,35.87360202574383,4.632747606898271,1.7577452090007482,3.104155076828637,214.202353776209,0.5095915900938057,1.3046289013792707,2.0259452512037446,1.689807976366322,1.4156323735348846,0.40353737842659554,0.34512459475531854,1.325404285522454,1.5180513725565423,1.7214794068560686,1.614255021197414
median,2023.0,462486.5,214905.5,-1.0823635,51.819044,22.0,3.0,2.0,1.0,4.0,-1.0,4.0,31.0,6.0,30.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0
std,0.0,92264.78700202647,146600.01408989698,1.349406585657276,1.3208533156609543,24.321076700085463,0.46763779390085924,0.6890526953547922,0.7370056526410304,1.9292246881324857,0.0,1.4640221669899403,1578.472250779006,1.7008940745654295,14.349338340821568,14.731899212234039,2.5524348018220024,2.7639170503964663,916.2129575090659,2.0944970722008924,2.6431034808997826,1.6959386799450684,1.8855235545961255,1.1322413778796103,1.8374018333851598,1.7341614207714071,0.46910081668465814,0.8105534618502821,0.7948750485151211,2.6937438851705373
skewness,0.0,-0.5699401647975512,1.1548670728449415,-0.5998076760809963,1.1458735889442104,0.8826923116728752,-1.5505937492446513,1.9077662890374159,11.48877198004883,-0.08091652753751076,0.0,0.057068500556523315,2.2873505990271163,-1.0520971921679287,1.086521883348738,6.030657915015341,0.2522397008236763,-0.09628466292558631,5.102476511360524,3.736506398155727,1.8214158384791912,1.30428599397726,3.0921685571224784,4.7911610967630285,4.150852086485765,4.555009458336615,0.735272141196854,1.0889872401062393,-2.8921918875653443,0.4911000328242226
kurtosis,0.0,-0.12808847395780099,1.3266623039731726,-0.08337300098745404,1.2875142973601479,0.6751134003944297,1.3591323645886386,16.7686958108257,753.9192645358833,-1.184139720304922,0.0,-1.290502903308723,4.219024404635624,0.8343436951621612,0.02780914287206704,35.7161348677713,-0.7861948036796749,-1.8288195353201593,26.740083513890205,12.23545138879215,2.0470446109395577,0.3390085748717584,8.29468323175682,29.032597120586498,16.03034835735987,19.47744150709413,-1.399273817449469,-0.5960177216886371,6.924302879608851,-0.9280686777443967
shapiro_test,"ShapiroResult(statistic=np.float64(1.0), pvalue=np.float64(1.0))","ShapiroResult(statistic=np.float64(0.9632691651005414), pvalue=np.float64(2.5762124198520554e-87))","ShapiroResult(statistic=np.float64(0.8985280159389298), pvalue=np.float64(1.3276548666385896e-113))","ShapiroResult(statistic=np.float64(0.9610624366930216), pvalue=np.float64(9.927882619811276e-89))","ShapiroResult(statistic=np.float64(0.8990261588743312), pvalue=np.float64(1.8149926213823167e-113))","ShapiroResult(statistic=np.float64(0.8801139479965974), pvalue=np.float64(2.9542037934860453e-118))","ShapiroResult(statistic=np.float64(0.5520364954773772), pvalue=np.float64(2.380829858433849e-158))","ShapiroResult(statistic=np.float64(0.7089906040985752), pvalue=np.float64(1.4092642543791164e-144))","ShapiroResult(statistic=np.float64(0.4088495267631218), pvalue=np.float64(1.5351266500636918e-167))","ShapiroResult(statistic=np.float64(0.9252582645882442), pvalue=np.float64(2.5130937297261212e-105))","ShapiroResult(statistic=np.float64(1.0), pvalue=np.float64(1.0))","ShapiroResult(statistic=np.float64(0.7863782887932842), pvalue=np.float64(4.25789253676149e-135))","ShapiroResult(statistic=np.float64(0.5615831722550482), pvalue=np.float64(1.201037005539388e-157))","ShapiroResult(statistic=np.float64(0.6784472555406578), pvalue=np.float64(1.0442747245240024e-147))","ShapiroResult(statistic=np.float64(0.786615282594366), pvalue=np.float64(4.598827507292777e-135))","ShapiroResult(statistic=np.float64(0.2595365386283559), pvalue=np.float64(3.394197193507468e-175))","ShapiroResult(statistic=np.float64(0.7585999431196184), pvalue=np.float64(8.30463864964413e-139))","ShapiroResult(statistic=np.float64(0.7271610322997257), pvalue=np.float64(1.4223404812103023e-142))","ShapiroResult(statistic=np.float64(0.24992724927742827), pvalue=np.float64(1.2223629642792681e-175))","ShapiroResult(statistic=np.float64(0.289471763449356), pvalue=np.float64(8.840716322051566e-174))","ShapiroResult(statistic=np.float64(0.5885897914704743), pvalue=np.float64(1.3954016263473373e-155))","ShapiroResult(statistic=np.float64(0.62501809787538), pvalue=np.float64(1.3534445188866569e-152))","ShapiroResult(statistic=np.float64(0.40603784114827357), pvalue=np.float64(1.0632383495252394e-167))","ShapiroResult(statistic=np.float64(0.42851659569600664), pvalue=np.float64(2.0958333367711092e-166))","ShapiroResult(statistic=np.float64(0.27590849011101914), pvalue=np.float64(1.9883921524461586e-174))","ShapiroResult(statistic=np.float64(0.25038370657761433), pvalue=np.float64(1.282781838407442e-175))","ShapiroResult(statistic=np.float64(0.5919966016566487), pvalue=np.float64(2.5928168360427265e-155))","ShapiroResult(statistic=np.float64(0.6194842938103648), pvalue=np.float64(4.586186635031329e-153))","ShapiroResult(statistic=np.float64(0.38135221997744295), pvalue=np.float64(4.51409882888483e-169))","ShapiroResult(statistic=np.float64(0.7863540313261339), pvalue=np.float64(4.224472965969141e-135))"
